cgpa,coding_score,internships_count,attendance_percentage,projects_count,communication_score,branch,selected_skills_count,placed
8.66,541,0,85,1,52,mech,5,1
9.08,383,1,56,5,52,mech,5,1
5.81,941,2,77,5,72,mech,8,1
5.62,417,1,92,2,42,cse,6,0
9.04,596,0,79,4,52,eee,0,0
5.51,701,1,78,3,44,eee,5,0
6.06,457,2,97,3,60,mech,4,0
6.36,830,3,98,5,97,ece,4,1
9.25,461,2,68,3,90,civil,5,1
7.49,368,3,65,5,45,eee,8,0
8.29,245,1,98,2,54,ece,2,1
6.6,636,0,84,3,96,civil,3,0
7.23,559,1,64,5,84,cse,1,0
6.48,862,3,58,4,55,cse,7,1
7.59,693,2,83,4,92,civil,6,0
7.97,312,3,83,2,88,ece,4,0
7.85,791,1,72,3,44,eee,3,1
6.94,703,0,63,1,54,mech,2,0
5.79,567,2,89,3,66,cse,3,0
7.25,938,0,91,3,70,cse,5,1
7.25,579,1,86,1,57,mech,7,1
7.01,845,3,65,3,98,ece,8,1
7.27,727,0,60,5,67,ece,7,1
6.67,485,1,84,2,61,mech,4,0
9.24,408,0,85,0,87,civil,0,0
7.07,815,0,96,0,88,cse,3,1
5.59,306,1,63,3,82,cse,3,0
6.65,527,1,93,4,87,cse,2,0
5.99,176,2,91,5,98,mech,6,0
6.39,756,1,61,5,89,eee,1,0
8.05,192,2,89,3,82,eee,1,1
7.04,580,3,61,3,63,mech,2,0
8.8,816,2,94,4,89,mech,7,1
8.79,424,2,70,0,57,mech,3,0
8.06,834,3,76,0,71,eee,2,1
7.1,414,2,72,4,84,eee,8,1
9.77,237,1,81,3,75,ece,7,0
7.71,167,0,73,1,65,ece,4,0
7.16,716,2,82,5,75,eee,5,0
6.72,407,1,62,5,52,eee,1,0
9.78,856,1,67,1,87,mech,4,1
9.89,687,2,61,1,58,ece,5,1
5.56,696,1,72,0,43,civil,4,0
6.07,920,3,61,0,76,eee,7,0
7.03,202,2,85,0,92,cse,6,0
8.1,852,0,64,1,91,civil,4,1
6.62,721,3,93,4,90,civil,3,0
7.21,603,2,92,3,59,civil,0,0
8.83,931,1,95,1,56,cse,2,1
7.98,310,0,81,3,84,civil,7,1
6.54,873,2,99,3,44,ece,4,0
8.31,827,1,82,0,74,ece,2,0
9.22,223,0,65,2,78,civil,4,0
7.61,461,3,72,4,74,mech,7,1
5.68,592,2,93,2,41,cse,3,0
9.26,739,0,98,2,76,cse,2,1
8.43,434,1,92,3,80,mech,1,1
7.34,478,0,65,2,66,mech,4,0
7.3,928,0,84,0,60,eee,5,1
8.98,676,0,97,4,69,mech,0,1
7.13,924,3,95,3,88,cse,3,1
6.09,444,3,99,3,47,cse,3,0
6.9,164,3,60,1,93,cse,7,0
8.41,307,3,100,2,72,eee,6,0
9.91,399,3,90,1,64,ece,8,1
6.11,221,2,81,2,99,civil,4,0
6.77,455,3,64,3,74,mech,5,1
8.93,536,3,75,1,84,ece,6,1
8.99,194,2,85,5,98,mech,6,0
9.07,817,1,86,0,48,civil,5,0
9.43,600,0,88,3,40,ece,6,0
9.86,226,3,71,2,79,mech,1,0
9.34,696,3,75,5,85,mech,8,1
5.81,796,2,69,5,45,mech,1,0
8.67,252,3,65,5,59,cse,0,1
5.75,517,2,82,1,55,civil,6,0
9.07,324,1,60,4,95,mech,3,0
8.12,387,3,95,2,69,eee,0,0
7.59,444,1,59,3,100,eee,4,0
7.41,406,3,74,1,64,mech,1,1
8.07,738,2,99,2,41,mech,4,1
9.39,946,0,93,5,71,eee,3,1
7.09,801,1,94,2,83,ece,1,0
8.41,466,3,57,4,63,ece,1,0
6.97,575,1,67,1,90,civil,5,0
9.61,318,2,85,2,87,eee,1,1
5.84,922,1,98,5,83,mech,8,1
9.06,164,2,89,0,69,eee,4,0
9.2,530,0,98,1,70,cse,8,1
8.25,813,0,95,3,98,eee,6,1
5.7,188,2,86,0,46,ece,8,1
7.54,836,3,92,5,86,ece,6,1
9.25,780,3,72,0,84,eee,3,1
9.78,521,0,98,2,74,eee,0,1
6.35,275,3,60,5,53,civil,0,1
7.0,278,1,59,4,53,civil,3,0
6.55,942,1,93,0,57,ece,2,1
9.09,262,0,63,0,62,ece,5,1
6.69,279,3,88,0,87,cse,7,1
7.13,757,0,83,4,54,civil,0,0
9.59,824,2,84,5,41,cse,7,1
7.42,260,3,100,3,44,cse,5,1
5.8,431,2,79,4,73,eee,7,0
7.44,868,0,96,5,96,civil,3,1
9.5,573,2,84,3,66,cse,5,1
8.49,533,1,98,3,44,cse,1,1
5.93,906,2,63,4,43,civil,8,0
8.52,570,2,97,3,95,cse,4,1
7.08,741,1,64,5,70,ece,1,1
8.0,267,2,91,1,91,mech,8,0
9.18,778,0,93,5,93,eee,0,1
8.66,466,2,77,0,51,ece,6,1
8.83,181,0,88,1,64,mech,7,1
7.17,888,2,91,4,45,cse,2,1
8.28,840,0,72,3,82,mech,7,0
7.36,370,0,77,3,47,eee,7,0
6.89,375,3,93,0,40,ece,4,0
8.95,932,2,73,2,47,cse,7,1
6.29,539,1,87,4,93,eee,1,0
8.84,596,0,84,0,95,eee,6,0
8.69,577,2,62,3,41,eee,2,0
8.28,856,2,60,3,94,cse,3,1
7.3,230,3,74,5,61,ece,5,0
5.84,798,0,88,4,52,eee,5,0
9.19,301,1,61,1,56,ece,2,0
8.92,821,0,66,5,71,mech,7,0
9.47,808,2,95,2,49,mech,1,1
8.34,431,0,77,4,44,eee,7,1
5.76,443,0,96,0,79,civil,8,0
8.11,906,0,83,4,81,ece,5,1
7.76,213,3,61,2,85,cse,8,0
5.68,874,3,83,4,73,civil,2,1
9.63,546,3,76,5,78,cse,5,1
5.93,844,3,73,2,86,civil,2,1
8.12,294,2,74,5,84,mech,2,0
9.72,467,3,96,2,92,ece,8,1
8.52,670,2,56,2,59,ece,3,1
8.95,346,1,63,1,44,eee,1,0
7.93,906,0,97,2,96,civil,2,0
6.19,335,1,83,0,66,eee,3,0
8.25,920,3,69,4,55,eee,7,0
6.37,844,3,84,2,89,mech,8,1
9.85,354,1,71,0,81,mech,5,0
5.96,678,0,73,0,88,ece,4,0
7.81,597,0,69,3,96,eee,0,0
7.28,532,1,79,0,63,ece,0,1
5.95,881,2,64,1,42,eee,7,0
6.12,872,3,83,4,40,cse,0,1
9.26,711,3,62,2,55,eee,1,1
7.39,787,3,59,0,93,mech,8,1
7.82,397,1,73,3,40,civil,5,1
7.37,830,0,88,2,44,civil,8,0
9.95,717,0,79,3,42,mech,5,1
5.57,219,2,70,5,82,cse,5,1
7.09,496,1,98,3,84,mech,2,0
5.78,944,3,57,2,52,cse,3,0
6.92,467,3,89,3,56,cse,3,1
9.38,198,2,72,0,91,eee,6,0
8.84,545,2,66,3,84,mech,5,0
7.84,234,3,60,3,78,ece,8,1
5.96,485,2,74,3,78,mech,2,0
7.08,193,2,94,3,57,cse,1,0
7.33,675,1,56,1,94,civil,7,1
5.8,947,2,78,3,100,civil,0,0
8.56,529,2,83,0,76,ece,8,1
6.91,435,1,62,0,87,ece,7,0
9.61,270,2,71,5,68,ece,4,0
9.99,354,0,63,0,68,ece,7,0
9.15,477,2,100,0,75,civil,4,0
9.33,878,1,78,4,54,cse,3,1
6.57,655,0,78,4,76,eee,7,0
7.98,776,0,59,2,65,mech,8,0
7.34,738,0,63,2,81,cse,7,0
7.83,281,1,63,3,72,cse,1,0
6.87,315,2,100,1,62,civil,4,0
6.63,800,2,63,5,59,civil,8,1
8.38,756,1,65,5,79,civil,5,0
8.04,179,0,57,5,89,civil,4,0
8.95,576,0,86,5,74,eee,4,1
9.12,851,3,74,3,44,cse,2,1
7.68,358,2,93,1,60,eee,5,0
6.09,529,0,75,1,69,cse,4,0
6.13,201,2,79,4,66,ece,2,0
9.7,888,2,67,1,71,civil,7,1
6.89,173,0,80,4,69,ece,3,0
5.72,438,3,93,5,83,mech,4,0
9.31,591,1,71,5,63,mech,5,1
5.73,725,1,78,4,58,cse,6,0
8.94,436,0,63,0,65,eee,5,0
7.15,297,1,93,4,65,civil,0,1
6.12,491,3,88,3,49,civil,8,1
9.69,476,1,80,4,87,eee,5,1
7.79,651,2,85,0,63,eee,1,0
8.13,892,0,93,3,56,civil,3,0
8.13,324,3,64,5,55,cse,1,1
7.48,578,1,81,5,53,mech,8,0
9.64,903,0,100,1,73,ece,8,1
8.48,688,3,75,1,69,civil,5,1
8.54,888,2,94,3,52,ece,4,1
6.51,454,2,100,1,84,mech,5,1
8.02,888,2,73,0,76,civil,6,0
7.28,503,1,73,0,58,cse,5,0
8.45,915,3,68,1,92,civil,4,0
8.63,290,0,94,5,77,ece,3,1
9.57,381,1,58,0,66,eee,7,1
8.97,155,1,81,5,99,mech,7,0
8.9,444,2,73,5,43,cse,3,1
8.75,188,1,81,1,99,cse,6,0
6.34,916,2,57,0,59,civil,1,0
7.01,615,3,63,4,69,eee,3,0
6.99,898,3,96,2,85,ece,0,1
9.06,731,1,66,4,94,mech,6,1
5.89,835,0,66,1,70,eee,3,1
7.23,607,2,76,2,77,civil,0,1
7.12,391,0,97,0,69,eee,2,0
7.76,870,2,99,0,80,eee,5,1
6.49,286,3,64,3,87,civil,5,0
7.97,632,1,70,5,88,civil,1,0
7.88,520,0,91,0,43,civil,8,1
7.91,318,2,88,3,47,ece,7,1
7.8,206,3,63,4,66,mech,0,0
8.53,465,0,80,2,92,cse,3,0
5.7,502,0,89,0,99,cse,7,1
7.34,937,1,96,5,81,mech,5,0
7.22,536,3,60,5,82,civil,2,0
7.06,332,3,88,1,86,ece,0,0
9.9,624,3,89,3,92,ece,3,1
6.2,343,0,57,5,66,civil,0,0
5.8,758,0,83,4,83,cse,3,0
7.31,389,1,58,1,72,eee,3,0
8.79,476,2,70,2,96,ece,8,1
6.85,212,1,95,5,67,civil,7,1
7.05,808,3,88,2,84,mech,6,1
7.19,922,3,70,1,59,ece,7,0
8.03,576,1,79,1,56,ece,5,0
9.65,529,0,89,5,93,ece,0,1
8.53,767,0,59,1,91,civil,8,1
6.44,490,2,55,1,99,ece,1,0
8.89,398,1,80,1,75,eee,4,1
7.9,517,2,71,2,72,mech,7,1
9.92,630,2,68,2,60,mech,0,0
6.5,299,0,71,4,99,civil,6,0
6.38,385,3,91,1,71,civil,5,1
9.2,890,3,84,1,86,eee,2,1
7.96,338,0,88,0,93,cse,0,0
7.36,795,1,59,5,49,cse,3,0
7.18,782,3,97,3,41,cse,8,1
5.55,692,2,89,2,41,civil,6,0
9.59,259,0,88,1,55,ece,8,1
7.09,556,0,78,3,69,civil,3,0
6.52,850,0,96,5,88,cse,1,1
7.2,637,0,95,0,84,ece,1,0
7.45,489,0,88,0,54,ece,7,1
9.66,850,2,89,4,82,cse,2,1
6.92,362,1,100,3,99,cse,4,1
6.58,548,2,79,5,48,cse,8,0
7.06,250,3,69,0,61,civil,6,0
6.97,799,2,83,3,54,eee,8,0
7.44,846,3,60,4,58,ece,1,1
6.19,878,1,79,2,63,cse,1,1
6.89,518,2,61,1,45,ece,6,0
8.0,567,0,56,0,62,civil,1,0
9.03,544,0,73,3,64,cse,8,0
9.9,735,1,98,3,50,ece,4,1
7.72,214,1,82,2,66,eee,7,0
7.13,402,3,93,4,52,mech,1,1
5.53,555,2,94,3,91,eee,7,1
9.17,816,1,74,2,78,ece,7,1
9.84,476,2,99,5,71,civil,3,1
6.76,552,2,62,4,52,civil,8,1
8.95,177,3,100,1,68,eee,1,0
9.08,568,3,63,5,59,ece,4,0
8.72,536,0,83,4,70,civil,6,0
9.66,858,3,89,0,90,eee,8,1
9.61,261,1,97,5,62,ece,0,1
8.4,812,3,76,3,46,cse,1,1
7.8,681,1,83,2,65,mech,8,1
9.99,644,0,73,3,98,cse,1,0
8.79,506,2,76,3,90,ece,8,1
7.64,598,3,75,0,59,cse,1,1
7.04,261,1,70,4,51,civil,2,0
7.42,623,1,80,5,51,ece,6,1
8.82,352,3,92,3,64,cse,3,1
8.89,214,0,89,1,63,eee,3,0
6.68,651,2,93,3,79,mech,1,1
9.3,782,1,98,5,91,eee,1,1
6.91,394,2,62,1,63,ece,8,0
8.18,738,3,82,1,71,civil,2,1
7.7,293,1,75,3,79,cse,5,0
7.68,349,3,90,4,81,mech,6,0
7.37,604,3,65,0,76,cse,3,1
6.74,700,2,65,3,76,mech,8,0
8.08,424,2,89,0,88,mech,8,1
7.41,903,1,74,0,68,eee,5,0
5.89,270,1,68,5,77,eee,6,1
6.13,361,1,58,4,62,civil,4,0
6.26,870,2,73,4,57,civil,1,1
8.88,571,0,72,5,48,ece,3,1
6.95,403,3,86,1,76,eee,6,1
5.84,937,0,80,4,87,eee,5,0
7.7,745,0,60,5,69,eee,1,0
7.29,589,1,86,2,60,eee,5,0
6.09,646,2,98,0,42,cse,7,1
9.68,311,3,84,0,67,ece,2,0
6.86,430,0,96,2,56,cse,5,0
8.42,203,3,95,2,86,ece,6,0
8.67,151,1,85,0,48,civil,3,0
7.5,158,2,62,3,84,ece,7,1
7.22,898,0,61,2,63,eee,2,0
9.16,286,1,59,4,76,cse,2,0
8.75,793,1,81,4,83,mech,3,1
5.95,920,0,92,5,64,eee,6,1
6.13,433,0,70,4,78,civil,4,0
8.61,824,2,68,4,78,civil,3,0
6.83,205,1,86,3,47,ece,7,0
5.82,162,2,75,1,64,civil,6,0
8.57,931,3,59,0,77,cse,0,1
5.68,211,3,87,2,80,civil,6,0
7.31,805,1,72,0,59,cse,8,0
9.88,309,2,80,4,80,cse,4,1
8.78,394,0,70,0,99,mech,1,0
8.24,466,1,62,0,85,ece,0,1
9.79,685,2,65,2,48,eee,1,0
5.63,589,2,88,0,56,civil,1,0
7.8,206,3,91,1,63,ece,4,0
9.52,840,0,69,5,72,cse,0,0
5.56,197,3,78,3,98,ece,2,0
9.36,716,3,69,2,55,mech,5,1
5.85,531,0,87,5,97,cse,2,1
7.82,197,3,59,3,95,eee,4,1
7.99,158,2,67,2,76,eee,3,0
8.16,655,1,89,1,49,cse,6,1
7.94,801,0,76,0,88,mech,4,1
7.88,393,3,86,0,49,eee,1,1
6.54,682,3,99,2,69,cse,1,1
8.37,553,0,92,4,43,mech,2,1
6.67,472,3,99,5,60,eee,7,1
5.84,357,1,92,0,49,cse,2,0
6.91,273,2,68,3,59,mech,4,0
5.91,852,2,100,5,78,cse,3,0
6.98,243,1,77,3,72,cse,4,1
9.96,181,3,83,4,87,civil,3,1
5.96,293,0,55,0,93,ece,2,0
7.3,852,0,92,4,56,cse,0,0
6.39,811,3,63,0,97,eee,1,1
7.57,322,3,80,3,41,mech,6,1
6.47,341,2,72,3,96,ece,0,0
8.28,812,2,86,3,96,civil,7,1
6.76,290,3,67,5,96,civil,3,0
9.11,169,3,100,2,70,civil,7,1
8.05,479,3,72,1,41,eee,3,1
9.15,437,0,85,4,62,civil,3,0
5.95,822,1,72,4,92,cse,3,0
9.92,547,2,66,1,55,civil,5,0
8.64,755,0,100,5,62,civil,2,1
6.35,654,2,66,3,42,cse,0,1
6.48,689,3,55,2,98,civil,3,0
7.03,331,2,58,0,49,civil,2,0
9.31,523,0,78,5,100,mech,1,1
6.95,311,3,95,3,81,eee,2,0
8.03,778,2,69,5,77,ece,6,1
8.6,280,1,55,5,100,civil,6,0
8.97,731,0,66,4,60,civil,3,0
5.97,658,1,76,5,44,ece,5,0
6.26,240,2,83,0,56,ece,3,0
7.08,260,0,58,3,68,mech,2,0
7.72,537,2,89,3,46,mech,3,1
5.83,184,2,56,2,56,cse,1,0
9.5,314,0,90,0,61,civil,7,0
7.44,819,1,93,3,50,cse,1,1
9.88,569,2,97,2,59,ece,1,1
8.07,652,1,58,2,40,mech,1,1
8.48,764,3,67,0,41,ece,2,0
9.9,634,0,74,3,70,mech,4,1
7.95,339,2,79,2,51,mech,0,1
7.59,381,2,91,0,49,cse,1,0
9.14,573,1,90,0,93,mech,8,1
7.91,636,1,85,2,45,mech,0,1
9.55,735,1,62,3,51,ece,3,0
6.07,583,0,98,3,52,ece,4,1
8.77,218,0,79,4,65,civil,5,0
7.84,162,3,62,3,49,ece,1,0
8.03,253,2,89,2,96,mech,4,1
7.69,773,3,57,1,57,mech,2,0
8.56,561,0,80,2,84,ece,0,0
9.64,531,0,76,2,59,eee,7,0
8.58,383,1,74,5,68,eee,4,0
8.22,241,1,83,1,98,mech,7,0
9.4,207,1,59,2,85,civil,6,1
9.33,732,0,66,1,96,ece,0,1
7.55,519,1,72,2,92,mech,8,1
9.65,847,0,70,2,71,civil,7,1
9.42,750,2,77,1,93,eee,1,1
7.24,316,1,69,5,54,ece,4,0
7.81,949,0,85,1,81,ece,0,1
8.24,462,2,82,3,94,eee,7,1
7.6,843,3,92,0,40,civil,5,1
8.17,439,2,98,0,70,cse,5,0
8.38,433,2,96,5,100,eee,3,1
8.94,208,3,97,2,83,ece,0,0
9.99,415,3,80,3,87,cse,3,1
8.71,852,3,97,2,72,eee,2,1
9.44,335,2,61,3,48,eee,8,0
6.32,846,2,96,0,54,eee,3,0
6.88,489,2,71,4,58,mech,1,0
9.4,747,0,85,1,72,cse,6,1
7.36,304,1,67,2,66,civil,7,1
9.38,334,0,86,2,80,ece,5,0
5.52,430,1,65,4,88,ece,7,0
9.01,282,3,95,3,65,mech,7,1
5.67,354,2,55,2,88,civil,3,1
5.52,901,1,69,5,96,eee,4,1
7.23,752,2,65,0,92,cse,4,0
7.55,682,2,82,5,48,eee,7,1
6.35,563,0,69,1,86,ece,3,0
8.15,323,0,78,5,81,cse,6,0
6.65,697,0,93,0,82,cse,0,1
6.02,604,3,62,4,56,mech,2,1
8.59,159,2,81,5,46,civil,4,0
8.65,578,0,87,5,79,cse,4,1
5.98,353,1,71,4,52,eee,6,0
5.68,658,1,99,3,61,ece,0,1
5.9,263,3,64,0,89,civil,1,0
5.96,412,1,84,2,56,mech,0,1
6.29,190,2,78,5,60,mech,1,1
8.91,196,0,63,5,81,ece,5,0
7.47,786,2,60,2,92,eee,2,1
7.3,617,2,79,5,94,mech,6,0
9.09,265,1,99,5,43,ece,1,1
8.16,732,3,66,4,64,eee,0,0
9.46,894,1,85,3,47,mech,7,1
6.68,471,0,100,5,73,civil,3,0
8.51,496,0,82,5,86,ece,7,1
8.54,544,1,90,4,43,cse,2,1
7.61,657,1,59,3,60,ece,5,0
5.73,378,3,80,1,45,mech,7,0
7.52,660,3,75,0,71,cse,1,1
5.66,712,0,60,4,79,eee,8,0
8.45,617,2,78,0,92,ece,7,1
8.95,764,3,100,5,63,mech,1,1
8.47,152,2,77,5,91,eee,8,1
8.66,196,1,86,1,92,mech,1,1
6.38,273,3,68,3,92,ece,5,1
7.37,798,0,83,3,82,civil,8,1
7.74,693,0,90,3,93,civil,7,0
9.01,331,1,63,0,64,civil,5,0
7.23,773,1,72,3,61,eee,7,0
6.12,766,2,99,4,95,eee,8,0
6.4,789,2,98,2,98,ece,2,1
8.62,480,0,77,4,70,civil,6,0
9.52,696,2,82,0,73,cse,0,1
5.74,207,1,72,1,58,eee,2,0
8.61,452,1,89,0,62,mech,1,0
8.54,725,1,96,4,64,ece,8,0
9.09,444,0,79,3,66,eee,8,1
8.85,357,3,69,5,85,eee,8,0
6.38,892,1,73,3,51,cse,2,0
8.81,272,3,57,3,57,civil,4,1
8.13,411,0,76,3,85,ece,0,1
6.95,202,2,86,4,75,eee,1,0
6.93,375,1,88,0,90,civil,2,0
7.92,244,2,69,1,82,eee,5,0
6.48,920,3,90,5,40,cse,5,1
9.57,778,1,57,5,96,eee,6,0
9.75,545,2,89,5,58,cse,8,1
7.19,670,3,86,0,58,ece,5,1
9.77,321,0,95,0,53,ece,6,0
6.43,869,3,96,0,87,ece,0,1
6.99,239,0,58,1,90,eee,8,1
9.2,414,3,79,3,80,mech,6,1
7.25,271,0,96,5,79,cse,0,0
5.83,664,0,73,5,59,civil,1,0
9.67,540,3,97,0,70,ece,8,1
8.86,708,2,95,1,59,eee,0,1
8.0,276,0,55,4,78,mech,8,0
5.88,365,2,68,3,97,civil,2,1
6.49,408,1,62,1,82,civil,0,0
9.7,712,3,96,4,44,eee,1,1
6.39,744,3,76,2,48,ece,1,1
5.81,348,2,86,3,61,civil,4,0
6.19,730,2,75,3,50,cse,5,1
6.5,907,3,72,2,48,eee,7,1
7.11,462,3,90,0,51,civil,1,0
9.36,293,1,71,5,96,cse,1,0
9.32,796,0,92,4,65,civil,3,0
7.98,706,3,96,1,63,mech,3,0
8.15,447,1,84,4,72,cse,6,1
5.55,394,1,87,1,68,ece,2,0
8.05,299,3,77,0,54,mech,3,1
7.16,193,1,88,2,64,mech,7,0
5.68,814,2,61,5,73,eee,4,0
8.07,535,3,78,4,81,cse,8,1
9.88,378,3,77,2,71,mech,0,1
6.13,319,1,59,4,81,eee,3,1
6.21,766,0,97,1,66,eee,1,0
7.65,365,1,96,3,41,ece,0,1
8.17,287,0,91,1,43,ece,4,0
7.82,565,0,97,2,100,cse,3,1
9.97,643,1,69,3,78,ece,2,0
7.8,321,2,84,4,77,cse,3,1
6.09,166,1,88,4,83,mech,2,0
6.3,779,0,89,4,88,cse,1,0
6.09,767,0,98,5,67,civil,6,0
5.7,692,3,69,3,90,mech,5,0
8.84,929,0,82,1,56,mech,3,0
5.88,762,3,71,1,40,cse,8,1
5.53,820,1,99,2,66,eee,1,1
8.43,409,2,89,3,76,eee,4,0
7.29,358,3,90,4,70,ece,5,1
7.68,464,2,100,3,87,ece,1,0
7.51,866,1,61,1,72,mech,5,0
8.26,850,0,65,3,80,cse,1,0
7.62,764,3,60,0,56,ece,5,1
5.67,543,3,94,5,73,eee,0,0
9.19,805,3,83,0,52,civil,4,1
9.03,672,1,94,1,83,cse,5,1
5.5,311,0,72,3,62,mech,6,0
7.83,904,0,60,4,58,civil,5,1
9.17,381,1,84,3,76,cse,4,1
7.78,722,0,87,2,61,cse,8,0
9.44,738,2,99,3,64,civil,7,1
8.91,944,3,98,3,97,civil,0,1
6.66,541,1,98,5,54,eee,6,0
7.82,159,2,70,2,45,mech,5,1
9.69,637,2,77,1,97,civil,4,1
8.86,344,3,67,1,87,ece,4,1
6.41,405,2,64,0,47,cse,7,0
8.94,704,0,85,2,79,eee,7,0
9.46,738,2,86,1,88,civil,4,1
8.88,281,0,88,3,70,civil,0,0
7.27,852,1,84,0,84,civil,7,1
5.54,840,1,79,4,46,eee,5,0
6.67,711,2,70,2,70,civil,5,1
7.74,365,3,99,2,63,mech,4,1
8.07,739,1,61,5,57,ece,8,1
7.21,299,1,85,0,51,mech,7,1
9.52,795,2,86,2,56,civil,0,1
8.61,211,1,71,3,93,cse,7,0
6.67,518,2,77,0,66,cse,5,0
9.83,353,1,73,2,60,civil,7,0
7.51,230,3,94,2,69,ece,2,0
9.68,581,3,59,0,50,eee,3,1
8.44,877,2,93,5,65,eee,7,1
9.72,915,3,81,1,51,cse,2,1
8.48,911,0,68,1,65,cse,1,1
9.45,711,0,56,3,73,cse,1,1
6.2,820,3,74,1,55,eee,7,0
6.09,324,0,57,5,62,eee,7,0
9.42,428,3,63,5,74,ece,7,1
8.36,727,3,88,5,80,civil,4,0
7.67,382,0,83,2,63,mech,4,1
5.55,685,1,77,2,70,civil,0,0
7.71,923,3,74,0,89,mech,4,1
9.09,711,2,67,3,96,civil,6,1
6.23,904,3,79,1,56,cse,6,0
7.82,777,2,73,5,87,civil,4,1
9.34,336,1,73,0,80,mech,7,1
8.3,342,2,56,1,43,civil,0,1
5.96,425,1,100,3,86,cse,3,1
5.57,372,2,81,2,90,mech,5,0
9.06,488,0,64,0,57,mech,1,0
6.32,406,3,55,0,89,ece,6,0
7.49,905,0,67,3,87,cse,8,0
6.44,548,2,75,1,80,cse,8,0
6.64,803,2,67,2,96,cse,3,0
6.56,594,2,55,1,90,eee,1,0
6.59,193,3,99,4,49,eee,1,1
7.75,852,2,95,0,43,eee,2,0
9.06,278,3,69,2,75,eee,7,0
5.6,536,2,63,2,97,cse,7,0
8.02,705,3,67,4,51,civil,5,1
7.61,763,1,59,4,49,mech,4,0
7.94,614,0,95,4,64,ece,0,0
7.14,785,1,75,5,44,civil,6,1
8.57,934,1,94,2,60,mech,5,1
7.85,218,0,63,1,95,cse,3,1
6.36,182,3,97,3,73,civil,4,1
6.49,885,0,55,1,81,mech,1,0
8.38,519,3,78,5,43,civil,4,1
8.8,461,0,68,4,46,cse,3,0
6.35,688,1,91,5,100,ece,8,0
7.37,258,2,98,3,84,mech,1,1
6.31,561,2,97,1,74,civil,7,0
9.56,713,2,78,3,88,mech,5,1
8.03,369,3,90,5,56,eee,7,1
7.29,893,0,73,4,41,civil,2,0
6.86,457,1,68,2,41,eee,8,0
8.07,735,1,61,0,69,eee,2,1
7.15,746,1,69,2,91,eee,1,0
8.06,372,0,75,3,51,mech,1,0
6.85,898,3,60,0,98,eee,5,0
7.45,273,1,96,4,99,cse,6,1
7.86,476,1,75,4,84,ece,2,1
8.79,552,3,93,4,72,cse,3,1
9.04,301,1,76,0,70,civil,0,0
6.68,558,3,99,1,88,ece,7,1
7.7,817,1,90,4,87,civil,3,1
6.7,590,2,98,4,45,cse,6,1
7.07,478,2,93,5,41,eee,2,0
8.27,602,1,83,0,99,ece,3,0
6.2,895,0,62,5,43,ece,2,0
9.19,164,2,99,0,59,mech,7,1
6.44,700,1,68,4,73,eee,8,0
8.78,294,0,79,4,97,civil,0,1
5.77,355,2,58,3,81,cse,1,0
6.72,825,2,61,0,58,mech,3,0
7.79,876,0,75,3,95,civil,8,1
6.39,618,0,57,1,99,civil,4,0
7.27,310,0,77,5,62,eee,4,1
9.9,663,2,58,5,56,mech,0,0
9.77,380,1,76,3,82,ece,1,0
7.84,844,1,81,1,76,ece,6,0
9.59,487,3,89,1,53,ece,8,1
6.41,291,2,99,5,97,civil,2,0
9.59,938,1,96,4,98,ece,5,1
7.9,886,0,66,2,93,ece,0,0
